Chinese Character,Hanyu Pinyin
𡟟,cong1
𡞥,hou2
𡞧,zong1
𡟑,hou2
犭,quan3
氵,shui3
丨,gun3
丶,zhu3
丿,pie3
亅,jue2
亠,tou2
冫,bing1
㐨,xu4
㒁,yu3
刞,qu3
刟,diao1
刡,min3
刢,ling2
刣,zhong1
判,pan4
刨,pao2
利,li4
𠛒,gua1
𠛓,liu3
㓡,fu3
㓢,luo4
㓣,qia4
㓤,qia4
㓦,bai1
刮,gua1
刯,gen1
到,dao4
刲,kui1
刳,ku1
刵,er4
制,zhi4
刷,shua1
刺,ci4
剁,duo4
𠛪,tiao1
𠜅,jiao3
𠜎,xian4
㓧,gan1
㓩,xuan1
㓪,lang3
剃,ti4
剅,lou2
剆,gen1
剈,yuan1
剉,cuo4
削,xiao1
剌,la4
前,qian2
㓭,he2
剒,cuo4
剔,ti1
剕,fei4
剘,qi2
剚,zi4
剜,wan1
剞,ji1
剟,duo1
剡,yan3
剢,du1
𠜱,pi1
𠜴,guo3
𠜼,qia1
㓱,tou2
㓲,pian1
㓳,di1
㓴,ruan3
㓵,e4
剨,huo4
剪,jian3
剫,duo2
剬,duan1
剭,chuang1
副,fu4
剶,chuan1
𠝹,jie4
㓷,yi4
㓸,zhuo1
㓹,rui4
㓺,jian1
剩,sheng4
割,ge1
㓼,chi4
㓽,chong2
剺,li2
剻,fou2
𠞩,shuai4
𠞭,lou2
𠞯,suo3
㓾,xi1
㔀,liang4
㔁,deng1
㔂,lin2
㔄,su4
㔆,zan4
劀,gua1
劁,qiao2
劂,jue2
劄,zha2
㔊,zhan3
劅,pi3
劆,lian2
劈,pi1
劋,jiao3
㔌,zou4
㔍,chua1
劐,huo1
劓,yi4
𠠁,xian3
𠠃,qian1
𠠄,zhao4
㔎,xie4
㔏,li4
劕,zhi4
劖,chan2
㔒,xi2
劘,mo2
劙,li2
力,li4
劜,ya1
㔓,jian3
㘞,huo4
功,gong1
加,jia1
𠆮,mo4
㔕,ji2
劣,lie4
劤,jin4
劥,keng1
劦,xie2
劧,zhi3
㔗,fei4
㔘,chu4
助,zhu4
努,nu3
劫,jie2
劬,qu2
劭,shao4
劯,zhu3
劰,miao3
㔙,beng1
㔚,jie2
劶,jin4
劷,yang2
劸,wa1
劺,mou2
劻,kuang1
劼,jie2
劽,lie4
劾,he2
𠡒,dui3
勂,gao4
勃,bo2
勆,lang2
勇,yong3
勉,mian3
𠡡,can2
㔞,kuai4
勍,qing2
勏,pou3
勐,meng3
㔠,xia1
勒,le4
勓,kai4
勖,xu4
勘,kan1
㔡,bie1
𡠞,fu2
𡠒,guan1
𡠙,tong1
𡟕,shi1
𡟟,cong1
𡞥,hou2
𡞧,zong1
𡟑,hou2
犭,quan3
氵,shui3
丨,gun3
丶,zhu3
丿,pie3
亅,jue2
亠,tou2
冫,bing1
㐨,xu4
㒁,yu3
勜,weng3
募,mu4
勠,lu4
勡,piao4
勤,qin2
勥,qiang3
𠢕,hao2
勨,xiang4
勪,jue2
勫,fan2
勬,juan1
勭,tong2
𠢤,jue2
勮,ju4
勯,dan1
勰,xie2
㔣,lei2
㔥,bai4
㔦,yang3
勶,che4
𠢹,ke4
㔧,lü4
勷,rang2
𪟧,nao4
勺,shao2
勼,jiu1
勽,bao4
勾,gou1
勿,wu4
包,bao1
匆,cong1
匈,xiong1
匉,peng1
匊,ju1
匋,tao2
匌,ge2
𠣘,zhou1
匍,pu2
匎,an4
㔨,bei4
匏,pao2
匐,fu2
㔩,e4
匑,gong1
匒,da2
㔪,lu3
匓,jiu4
匔,gong1
匕,bi3
化,hua4
𠤏,bao3
北,bei3
㔭,che4
匙,chi2
匚,fang1
匛,jiu4
匜,yi2
匝,za1
匠,jiang4
匡,kuang1
匢,hu1
㔯,xuan2
匣,xia2
匤,qu1
𪟮,yang2
匧,qie4
匨,zang1
匪,fei3
𠥍,e1
㔱,yu3
匬,yu3
㔲,gui3
㔳,gui3
㔴,yi4
㔵,xuan3
匴,suan3
匶,jiu4
匷,jue2
匸,xi4
匹,pi3
㔷,lou4
匼,ke1
匽,yan3
匾,bian3
匿,ni4
㔸,ti1
十,shi2
千,qian1
㔹,le4
卅,sa4
午,wu3
𠥿,shi2
卉,hui4
半,ban4
卌,xi4
卍,wan4
卐,wan4
𠦆,ban1
𠦒,ban1
卑,bei1
卒,zu2
南,nan2
卙,ji2
博,bo2
卜,bu3
卞,bian4
卟,ji1
卡,ka3
卣,you3
卦,gua4
𠧩,hui4
𠧪,tiao2
𠨌,sui1
㔾,xian1
卬,ang2
𠨍,qing1
卭,qiong2
卮,zhi1
卯,mao3
印,yin4
𠨕,ji4
卲,shao4
即,ji2
卵,luan3
卶,chi3
卷,juan3
卸,xie4
卼,wu4
卿,qing1
卾,e4
厃,wei3
厄,e4
𠨭,ju2
㕂,yin2
㕃,xi1
㕄,zhi3
厊,ya3
㕅,jia2
㕆,hu4
㕇,la1
厎,di3
厏,zha3
厑,ya2
㕈,yi3
㕉,ke4
厒,qie4
厓,ya2
厔,zhi4
㕊,fu1
厖,mang2
厗,ti2
厚,hou4
㕋,qin2
㕌,ai4
厜,zui1
厝,cuo4
厞,fei4
原,yuan2
虒,si1
𠩺,xi1
㕎,e4
厤,li4
厥,jue2
厧,dian1
㕏,chu2
𡠞,fu2
𡠒,guan1
𡠙,tong1
𡟕,shi1
𡟟,cong1
𡞥,hou2
𡞧,zong1
𡟑,hou2
犭,quan3
氵,shui3
丨,gun3
丶,zhu3
丿,pie3
亅,jue2
亠,tou2
冫,bing1
㐨,xu4
㒁,yu3
㕐,xie3
厬,gui3
𠪚,yin2
㕓,chan2
厸,miao3
厹,qiu2
去,qu4
𠫛,bai3
厽,lei1
厾,du1
叀,zhuan1
㕖,su4
㕗,you4
㕙,jun4
又,you4
叉,cha1
及,ji2
友,you3
反,fan3
𠬛,mo4
𠬢,tao1
𠬪,biao4
叕,zhuo2
取,qu3
受,shou4
㕟,kui4
叚,jia3
叛,pan4
叝,ji2
叟,sou3
𠭗,jing3
壡,rui4
口,kou3
㕣,yan3
㕤,qiu2
古,gu3
句,ju4
另,ling4
叨,dao1
叩,kou4
只,zhi3
叫,jiao4
召,zhao4
叭,ba1
叮,ding1
可,ke3
叱,chi4
史,shi3
右,you4
叴,qiu2
叵,po3
司,si1
叺,chi3
叻,le4
叼,diao1
𠙼,gua3
𠮠,bai3
𫜸,hua4
㕦,hua4
㕧,xi1
㕨,fan4
叿,hong1
吂,mang2
吃,chi1
各,ge4
吆,yao1
吇,zi3
合,he2
吉,ji2
吊,diao4
吋,cun4
同,tong2
名,ming2
吏,li4
吐,tu3
向,xiang4
吒,zha4
吔,ye1
吖,ya1
𠮵,mang4
𠯃,wu3
𪛗,he2
㕩,pang4
㕪,dan3
㕫,fang3
㕬,gong1
㕭,ao1
㕮,fu3
㕯,ne4
㕰,he4
㕱,you2
㕲,hua2
㕳,xiong1
吘,ou3
吙,huo1
君,jun1
吜,chou3
吝,lin4
吞,tun1
吟,yin2
吠,fei4
吡,bi3
吤,jie4
吥,bu4
否,fou3
吧,ba5／ba0
吩,fen1
吪,e2
含,han2
吭,keng1
吮,shun3
吰,hong2
吱,zhi1
吲,yin3
吵,chao3
吷,xue4
吸,xi1
吹,chui1
吺,dou1
吻,wen3
吼,hou3
吽,ou2
吾,wu2
呀,ya1
呁,jun4
呃,e4
呄,ge2
呅,mei2
呆,dai1
呇,qi3
呈,cheng2
告,gao4
呋,fu1
呍,hong1
呎,chi3
呏,sheng1
呔,dai1
呚,hua2
𠯑,gua1
𠯿,lu4
㕷,pa1
㕸,li4
㕹,fa2
㕻,pou3
㕽,si4
呞,shi1
呟,juan3
呠,pen3
呡,wen3
呢,ne5／ne0
呣,m2
呥,ran2
呦,you1
呧,di3
周,zhou1
呫,che4
呬,xi4
呭,yi4
呮,qi4
呯,ping2
呰,zi3
呱,gua1
呲,ci1
味,wei4
呴,xu3
呵,he1
呶,nao2
呸,pei1
𡠞,fu2
𡠒,guan1
𡠙,tong1
𡟕,shi1
𡟟,cong1
𡞥,hou2
𡞧,zong1
𡟑,hou2
犭,quan3
氵,shui3
丨,gun3
丶,zhu3
丿,pie3
亅,jue2
亠,tou2
冫,bing1
㐨,xu4
㒁,yu3
呹,yi4
呺,xiao1
呻,shen1
呼,hu1
命,ming4
呾,da2
呿,qu4
咀,ju3
咁,han2
咂,za1
咃,tuo1
咅,pou3
咆,pao2
咇,bie2
咈,fu2
咉,yang3
咋,za3
和,he2
咍,hai1
咎,jiu4
咐,fu4
咑,da1
咒,zhou4
咓,wa3
咔,ka3
咕,gu1
咖,ka1
咗,zuo5／zuo0
咘,bu4
咚,dong1
𠰺,dai4
㖀,le4
㖆,qu2
咟,huo4
咠,qi4
咡,er4
咢,e4
咣,guang1
咥,die2
咦,yi2
咧,lie1
咨,zi1
咩,mie1
咪,mi1
咫,zhi3
咬,yao3
咭,ji1
咮,zhou4
咯,luo4
咰,shu4
咱,zan2
咳,ke2
咴,hui1
咵,kua3
咶,huai4
咷,tao2
咹,e4
咺,xuan1
咻,xiu1
咽,yan1
咾,lao3
咿,yi1
哀,ai1
品,pin3
哂,shen3
哃,tong2
哄,hong3
哆,duo1
哇,wa1
哈,ha1
哉,zai1
哊,you4
哋,di4
哌,pai4
哎,ai1
哏,gen2
哐,kuang1
哖,nian2
哘,xing2
哚,duo3
哞,mou1
𠀷,ji1
𠱠,ling2
𠱨,ji3
𠱫,e4
𠲎,fa5／fa0
㖕,xin1
㖖,nie4
㖗,yin2
哠,hao4
哢,long4
哤,mang2
哥,ge1
哦,o2
哧,chi1
哨,shao4
哩,li3
哪,na3
哫,zu2
哬,he2
哭,ku1
哰,lao2
哱,po4
哲,zhe2
哳,zha1
哴,liang4
哵,ba1
哷,lie4
哸,sui1
哹,fu2
哺,bu3
哼,heng1
哽,geng3
哾,shuo1
哿,ge3
唁,yan4
唂,gu1
唅,han1
唆,suo1
唇,zhen1
唈,yi4
唉,ai1
唋,tu3
唌,xian2
唎,li1
唏,xi1
唐,tang2
唑,zuo4
唒,qiu2
唔,ng2
唗,dou1
唜,mo4
唣,zao4
唥,leng2
唦,sha1
𠳀,yong3
𠳐,bang1
𠳨,mei2
𪡇,ni3
㖠,ba4
㖡,ye4
㖣,tou4
㖩,sou3
唩,wo1
唪,feng3
唫,jin4
唬,xiao1
唭,qi4
售,shou4
唯,wei2
唰,shua1
唱,chang4
唲,er2
唳,li4
唴,qiang4
唵,an3
唶,jie4
唷,yo1
唹,yu1
唺,tian3
唼,za1
唽,xi1
唾,tuo4
唿,hu1
啀,ai2
啁,zhao1
啂,nou3
啃,ken3
啄,zhuo2
啅,zhuo2
商,shang1
啇,di4
啈,heng4
啉,lan2
啊,a1
啋,xiao1
啌,xiang1
啍,zhun1
啐,cui4
𡠞,fu2
𡠒,guan1
𡠙,tong1
𡟕,shi1
𡟟,cong1
𡞥,hou2
𡞧,zong1
𡟑,hou2
犭,quan3
氵,shui3
丨,gun3
丶,zhu3
丿,pie3
亅,jue2
亠,tou2
冫,bing1
㐨,xu4
㒁,yu3
啑,sha4
啒,gu3
啕,tao2
啖,dan4
啘,ye4
啛,cui4
啜,chuo4
啝,he2
啡,fei1
啤,pi2
啥,sha2
啦,la5／la0
啨,qing2
啩,gua4
啪,pa1
啱,yan2
啲,di1
啳,quan2
啵,bo1
啶,ding4
啷,lang1
𠴫,ji4
𠵫,ang1
𠶧,dian1
𪡐,you4
㖸,nia1
㗂,sheng3
㗅,hu2
㗈,man4
㗊,ji2
㗎,jia4
㗏,wai1
㗑,bai5／bai0
啙,zi3
啫,ze1
啻,chi4
啼,ti2
啽,an2
啾,jiu1
啿,dan4
喀,ka1
喁,yong2
喃,nan2
善,shan4
喅,yu4
喇,la3
喈,jie1
喉,hou2
喊,han3
喋,die2
喌,zhou1
喏,nuo4
喐,yu4
喑,yin1
喓,yao1
喔,wo4
喕,mian3
喖,hu2
喗,yun3
喘,chuan3
喙,hui4
喛,huan4
喜,xi3
喝,he1
喟,kui4
喠,zhong3
喢,sha4
喣,xu4
喤,huang2
喥,duo2
喦,nie4
喨,liang4
喭,yan4
喯,pen4
喱,li2
喳,cha1
喴,wei1
喵,miao1
喸,bu3
喹,kui2
喻,yu4
𠶸,jue2
𠶹,he2
𠶻,ji2
𠷎,chou2
𠸄,ying1
㗘,bo2
喍,chai2
嗀,hu4
嗂,yao2
嗃,he4
嗄,sha4
嗅,xiu4
嗉,su4
嗋,ai4
嗌,yi4
嗏,cha1
嗐,hai4
嗑,ke4
嗒,ta4
嗓,sang3
嗔,chen1
嗕,ru4
嗖,sou1
嗗,wa1
嗘,ji1
嗙,beng1
嗛,xian2
嗜,shi4
嗝,ge2
嗞,zi1
嗟,jie1
嗠,luo4
嗡,weng1
嗢,wa4
嗣,si4
嗤,chi1
嗥,hao2
嗦,suo1
嗨,hai1
嗪,qin2
嗮,sai4
嗯,ng2
嗰,ge3
嗱,na2
嗵,tong1
𠹛,hai2
𠹤,wei4
𠹦,pi1
𠺖,mu3
㗤,cu4
嗷,ao2
嗸,ao2
嗺,zui1
嗻,zhe4
嗼,mo4
嗽,sou4
嗾,sou3
嘀,di1
嘁,qi1
嘂,jiao4
嘃,chong1
嘈,cao2
嘉,jia1
嘊,ai2
嘋,xiao1
嘎,ga1
嘏,gu3
𡠞,fu2
𡠒,guan1
𡠙,tong1
𡟕,shi1
𡟟,cong1
𡞥,hou2
𡞧,zong1
𡟑,hou2
犭,quan3
氵,shui3
丨,gun3
丶,zhu3
丿,pie3
亅,jue2
亠,tou2
冫,bing1
㐨,xu4
㒁,yu3
嘐,xiao1
嘒,hui4
嘕,xian1
嘙,po2
嘚,de2
嘛,ma5／ma0
嘝,hu2
嘞,lei5／lei0
嘡,tang1
嘢,ye3
嘣,beng1
嘦,jiao4
嘧,mi4
𠻗,li2
𠼔,chang2
𠼞,a1
𠼢,qiang4
嘟,du1
嘫,ran2
嘬,chuai4
嘭,peng1
嘲,chao2
嘴,zui3
嘶,si1
嘹,liao2
嘾,dan4
嘿,hei1
噀,xun4
噂,zun3
噃,bo5／bo0
噆,zan3
噇,chuang2
噈,cu4
噊,yu4
噋,tun1
噌,cheng1
噍,jiao4
噎,ye1
噏,xi1
噒,lian2
噔,deng1
噗,pu1
噘,jue1
噙,qin2
𠾳,ge1
㗾,xue1
㘂,ci2
噢,yu3
噣,zhou4
噤,jin4
器,qi4
噩,e4
噪,zao4
噫,yi1
噬,shi4
噭,jiao4
噮,yuan1
噰,xue2
噱,jue2
噳,yu3
噶,ga2
噷,xin1
噻,sai1
噼,pi1
𠿓,sa4
𠿝,chu1
㘇,rong2
噿,zui3
嚁,di2
嚃,ta4
嚄,huo4
嚅,ru2
嚆,hao1
嚉,duo1
嚊,pi4
嚎,hao2
嚏,ti4
嚑,xun1
嚒,me1
嚓,ca1
嚺,ta4
𡁁,kai4
㘍,ji2
嚖,hui4
嚗,bo2
嚘,you1
嚚,yin2
嚜,me5／me0
嚟,li2
嚠,liu2
嚡,hai2
嚤,mo2
𡃉,jia4
𡃓,bo5／bo0
嚭,pi3
嚯,huo4
嚰,mo2
嚱,xi1
嚵,chan2
嚷,rang3
嚸,dian3
嚹,la5／la0
𡄣,mi2
㘕,han3
㘗,qu1
嚻,xiao1
嚼,jiao2
嚾,huan1
嚿,huo4
囃,ca4
囄,li2
囍,xi3
𡅄,tan2
囆,chai4
𡠞,fu2
𡠒,guan1
𡠙,tong1
𡟕,shi1
𡟟,cong1
𡞥,hou2
𡞧,zong1
𡟑,hou2
犭,quan3
氵,shui3
丨,gun3
丶,zhu3
丿,pie3
亅,jue2
亠,tou2
冫,bing1
㐨,xu4
㒁,yu3
囇,li4
囊,nang2
囎,zeng4
囔,nang1
㘜,chi3
㘝,nie4
囚,qiu2
四,si4
囜,nin2
𡆣,di2
𪛘,si4
㘟,chuang1
囝,jian3
回,hui2
囟,xin4
因,yin1
囡,nan1
𡆩,jiong3
𡆪,chuang1
𡆯,li3
𡆱,nan3
囤,tun2
囥,kang4
囧,jiong3
囨,pian1
囩,yun2
囫,hu2
囮,e2
困,kun4
𡇂,yin1
㘠,bi1
㘡,xia2
囹,ling2
固,gu4
囼,tai1
㘢,weng3
囿,you4
㘣,xuan1
圁,yin2
圂,hun4
圃,pu3
圄,yu3
圈,juan4
圉,yu3
圊,qing1
圌,chuan2
圐,ku1
圑,fu4
圔,ya4
圕,tuan1
𡈊,zhi2
𡈏,xin4
㘤,wan1
圙,lüe4
圚,hui4
𡈨,yu4
圛,yi4
圜,huan2
𡈮,xia2
𡈰,you2
𡈲,yin1
𡈴,ru3
㘥,you2
𡈵,you2
土,tu3
圠,ya4
㘦,qin2
圢,ting3
圥,lu4
圦,kuai4
在,zai4
圩,yu2
圪,ge1
圫,zhun1
圬,wu1
圭,gui1
圮,pi3
圯,yi2
地,di4
圱,qian1
圴,zhuo2
圵,dang4
圶,qia4
圷,xia4
圸,shan1
㘧,xu4
㘨,nie4
㘬,ao4
㘰,zhen1
圻,qi2
圿,jia2
址,zhi3
坁,zhi3
坂,ban3
坄,yi4
坅,qin3
均,jun1
坈,rong3
坉,tun2
坊,fang1
坋,ben4
坌,ben4
坍,tan1
坎,kan3
坐,zuo4
坑,keng1
坒,bi4
㘵,bu4
坡,po1
坢,pan3
坤,kun1
坥,qu1
坦,tan3
坧,zhi1
坨,tuo2
坩,gan1
坪,ping2
坫,dian4
坬,gua4
坭,ni2
坰,jiong1
坱,yang3
坲,fo2
坳,ao4
坴,lu4
坵,qiu1
坶,mu4
坷,ke3
坹,xue4
坺,ba2
坻,chi2
坼,che4
坽,ling2
坾,zhu4
垀,hu1
垂,chui2
垈,dai4
垉,pao2
𡊄,fen4
㘶,jie2
㘷,ai4
㘺,fa2
㘾,yu3
型,xing2
垌,dong4
垍,ji4
垎,he4
垏,lu4
垑,chi3
垓,gai1
垔,yin1
垕,hou4
垖,dui1
垗,zhao4
垘,fu2
垙,guang1
垚,yao2
垛,duo4
垝,gui3
垞,cha2
垟,yang2
垠,yin2
垡,fa2
垢,gou4
垣,yuan2
垤,die2
𡠞,fu2
𡠒,guan1
𡠙,tong1
𡟕,shi1
𡟟,cong1
𡞥,hou2
𡞧,zong1
𡟑,hou2
犭,quan3
氵,shui3
丨,gun3
丶,zhu3
丿,pie3
亅,jue2
亠,tou2
冫,bing1
㐨,xu4
㒁,yu3
垥,xie2
垧,shang3
垨,shou3
垬,hong2
垮,kua3
垳,hang2
垵,an1
城,cheng2
鿍,gang4
𡋣,wa1
㙀,liu4
㙁,mei2
㙂,dui4
㙃,bang1
㙄,bi4
㙅,bao3
垶,xing1
垸,yuan4
垹,bang1
垺,fu2
垽,yin4
垿,xu4
埁,cen2
埂,geng3
埃,ai1
埄,peng2
埅,fang2
埆,que4
埇,yong3
埈,xun4
埋,mai2
埌,lang4
埍,juan3
埏,yan2
埐,jin1
埑,zhe2
埒,lie4
埔,pu3
埕,cheng2
埖,hua1
埗,bu4
𡋯,bo2
㙇,chu4
㙈,xia4
㙉,tian3
㙊,chang2
㙋,qi2
㙍,duo1
埜,ye3
埝,nian4
域,yu4
埠,bu4
埢,juan3
埣,sui4
埤,pi2
埥,cheng1
埧,ju4
埩,zheng1
埫,chong3
埭,dai4
埮,tan4
埯,an3
埰,cai4
埱,chu4
埲,beng3
埴,zhi2
埵,duo3
埶,yi4
埸,yi4
培,pei2
基,ji1
埻,zhun3
埼,qi2
埽,sao4
埾,ju4
堀,ku1
堁,ke4
堂,tang2
堄,ni4
堆,dui1
堇,qin2
堉,yu4
堋,beng4
堌,gu4
堍,tu4
堎,leng4
堐,ya2
堓,an4
㙎,wei1
㙏,fu4
㙐,duo3
㙑,yu3
㙓,kui2
㙕,kuai4
㙗,wei1
㙘,yao1
埪,kong1
堗,tu2
堙,yin1
堛,bi4
堜,lian4
堞,die2
堟,zhuan4
堠,hou4
堡,bao3
堢,bao3
堣,yu2
堥,mao2
堧,ruan2
堨,e4
堩,geng4
堪,kan1
堫,zong1
堬,yu2
堭,huang2
堮,e4
堰,yan4
堲,ji2
堳,mei2
堵,du3
堶,tuo2
堸,feng2
堹,zhong4
堻,jin1
堼,heng4
堾,chun1
堿,kan3
塂,xiang4
塄,leng2
塅,duan4
塇,xuan1
塈,ji4
鿾,lang2
𡍲,da1
𡎚,pian3
㙙,long3
㙚,xing1
㙛,zhuan1
㙝,xie2
㙞,nie4
㙟,lang3
堽,gang1
塃,huang1
塉,ji2
塌,ta1
塍,cheng2
塎,yong3
塑,su4
塓,mi4
塔,ta3
塕,weng3
塖,cheng2
塘,tang2
塙,que4
塛,li4
塜,peng2
塝,bang4
塞,sai1
塠,dui1
塣,zheng4
塥,ge2
塦,zhen4
塧,ai4
塨,gong1
填,tian2
塬,yuan2
塭,wen1
塮,xie4
塯,liu4
塱,lang3
𡏘,xia4
㙠,yi1
𡠞,fu2
𡠒,guan1
𡠙,tong1
𡟕,shi1
𡟟,cong1
𡞥,hou2
𡞧,zong1
𡟑,hou2
犭,quan3
氵,shui3
丨,gun3
丶,zhu3
丿,pie3
亅,jue2
亠,tou2
冫,bing1
㐨,xu4
㒁,yu3
㙣,zhang4
㙥,gun4
㙦,xie2
塲,shang1
塳,peng2
塶,lu4
塷,lu3
塺,mei2
塻,mo4
塽,shuang3
塾,shu2
墀,chi2
墁,man4
境,jing4
墄,qi1
墅,shu4
墇,zhang4
墈,kan4
墉,yong1
墌,zhi2
墎,guo1
墐,jin4
墑,di1
墒,shang1
墓,mu4
墔,cui1
墕,yan4
墘,qian2
墚,liang2
𡐓,kang1
𪤗,liao4
㙩,liao2
㙪,yi4
㙫,ji2
㙮,da1
增,zeng1
墟,xu1
墡,shan4
墣,pu2
墤,kuai4
墥,dong3
墦,fan2
墩,dun1
墫,zun1
墭,sheng4
墱,deng4
墴,huang2
㙰,xie4
㙱,hao4
㙳,kan3
㙴,chan4
㙶,tang2
墺,ao4
墼,ji1
墽,qiao1
壀,pi2
壁,bi4
壂,dian4
壅,yong1
壆,xue2
壉,ju4
𪤟,nan2
㙷,zhi2
㙸,bao4
㙹,meng2
壒,ai4
壕,hao2
壖,ruan2
壗,jin4
𡒉,zang1
㙻,chan2
㙼,lei3
壣,lin2
壤,rang3
壦,xun1
壨,lei2
㚁,qiao4
㚂,nang4
士,shi4
壬,ren2
壴,zhu4
㚃,yun1
壹,yi1
壾,mang3
壿,zun3
𪤴,yi4
夂,zhi3
夆,feng2
㚅,long2
夊,sui1
夋,qun1
夌,ling2
𡕥,xue4
㚆,fu4
㚇,zong1
夎,cuo4
夏,xia4
𠀼,qian2
夐,xiong4
夒,nao2
𡖀,hun1
夔,kui2
外,wai4
夗,yuan4
夙,su4
多,duo1
㚉,gu3
夜,ye4
㚊,kai1
夡,qi4
㚋,diao1
㚌,hua4
夤,yin2
夦,chen3
㚍,kui3
大,da4
夨,ze4
天,tian1
太,tai4
夫,fu1
夬,guai4
夭,yao1
央,yang1
夯,hang1
夰,gao3
失,shi1
夲,tao1
夳,tai4
㚏,gao3
夵,yan3
夷,yi2
夻,hua4
夼,kuang3
㚒,shan3
㚓,lai3
夽,yun3
夿,ba1
奀,en1
𡠞,fu2
𡠒,guan1
𡠙,tong1
𡟕,shi1
𡟟,cong1
𡞥,hou2
𡞧,zong1
𡟑,hou2
犭,quan3
氵,shui3
丨,gun3
丶,zhu3
丿,pie3
亅,jue2
亠,tou2
冫,bing1
㐨,xu4
㒁,yu3
㚔,nie4
㚕,fu2
㚖,gao3
㚗,qie2
㚘,ban4
㚙,jia1
奃,di1
奄,yan3
奅,pao4
奆,quan3
奇,qi2
奈,nai4
奉,feng4
奍,quan1
奔,ben1
㚚,kong1
㚛,xi4
奎,kui2
奏,zou4
契,qi4
奒,kai1
奕,yi4
奊,xie2
套,tao4
奘,zang4
奙,ben3
奚,xi1
𡘧,qia2
㚜,yu4
㚝,zhui1
㚞,shen3
奛,huang3
奜,fei3
奝,diao1
奞,xun4
奟,beng1
奠,dian4
奡,ao4
奢,she1
奣,weng3
奤,ha3
𡙒,tian1
㚠,xiao1
奦,wu4
奫,yun1
奭,shi4
㚡,ji3
奰,bi4
奱,luan2
女,nü3
奴,nu2
奵,ding3
奶,nai3
㚤,yi4
㚥,yu2
㚦,yi2
㚧,yan3
㚨,shen1
奷,qian1
她,ta1
奺,jiu3
奻,nuan2
好,hao3
奾,xian1
奿,fan4
妀,ji3
妁,shuo4
如,ru2
妃,fei1
妄,wang4
𡚹,zhang4
㚩,ran3
㚪,hao4
㚫,sa4
㚬,jun1
㚭,you2
妉,dan1
妊,ren4
妋,fu1
妌,jing4
妎,hai4
妏,wen4
妐,zhong1
妑,pa1
妒,du4
妓,ji4
妔,keng1
妕,zhong4
妖,yao1
妗,jin4
妘,yun2
妙,miao4
妚,fou3
妜,yue4
妞,niu1
妟,yan4
妠,na4
妡,xin1
妢,fen2
妣,bi3
妤,yu2
妥,tuo3
妦,feng1
妧,wan4
妨,fang2
𡛂,yi1
𡛓,ran3
𡛗,bi4
𡛘,pi3
㚱,qiu1
㚲,chan1
㚴,bu4
㚵,dong1
㚹,mao3
㚺,yun4
㚻,ji1
㚼,hao3
㚽,qiao3
㚾,xiong1
㚿,pao2
㛁,peng1
妭,bo2
妯,zhou2
妰,zhuo2
妱,zhao1
妲,da2
妴,yuan4
妵,tou3
妶,xian2
妸,e1
妹,mei4
妺,mo4
妻,qi1
妼,bi4
妽,shen1
妾,qie4
妿,e1
姀,he2
姁,xu3
姂,fa2
姃,zheng1
姄,min2
姅,ban4
姆,mu3
姇,fu1
姈,ling2
姊,zi3
始,shi3
姌,ran3
姎,yang1
姏,man2
姐,jie3
姑,gu1
姒,si4
姓,xing4
委,wei3
姕,zi1
姖,ju4
𡛜,di1
𡛟,yue4
𡛠,qie1
𡛡,pi1
𡛥,cha4
𡛻,yong3
𡜁,gua1
㛂,nuo3
㛃,jie2
㛄,yi1
㛅,er4
㛈,kao3
㛊,duo4
妍,yan2
𡠞,fu2
𡠒,guan1
𡠙,tong1
𡟕,shi1
𡟟,cong1
𡞥,hou2
𡞧,zong1
𡟑,hou2
犭,quan3
氵,shui3
丨,gun3
丶,zhu3
丿,pie3
亅,jue2
亠,tou2
冫,bing1
㐨,xu4
㒁,yu3
姘,pin1
姚,yao2
姛,dong4
姜,jiang1
姝,shu1
姞,ji2
姟,gai1
姠,xiang4
姡,hua2
姤,gou4
姥,lao3
姨,yi2
姩,nian2
姫,zhen3
姭,xian4
姮,heng2
姯,guang1
姰,jun1
姱,kua1
姲,yan4
姳,ming3
姴,lie4
姵,pei4
姶,e4
姷,you4
姺,shen1
姻,yin1
姼,shi2
姽,gui3
姾,quan2
姿,zi1
娀,song1
威,wei1
娂,hong2
娃,wa2
𡜋,huang1
𡜥,dui1
𡜦,hui4
𡜧,xi4
𡜨,xiu1
𡜬,yi1
㛎,lü3
㛏,qiu2
㛑,can4
㛒,dou4
㛓,xi1
㛕,yi4
㛖,suo1
㛗,qie1
㛘,po4
㛙,xin1
㛚,tong3
㛛,xin4
㛜,you2
㛞,long4
㛢,xiu4
姬,ji1
娉,ping1
娊,xian4
娋,shao4
娌,li3
娍,cheng2
娎,xie4
娏,mang2
娐,fu1
娑,suo1
娒,mu3
娓,wei3
娔,ke4
娕,chuo4
娖,chuo4
娗,ting3
娘,niang2
娜,nuo2
娝,pou1
娞,nei3
娟,juan1
娠,shen1
娡,zhi4
娢,han2
娣,di4
娤,zhuang1
娥,e2
娦,pin2
娧,tui4
娨,xian4
娩,mian3
娪,wu2
娫,yan2
娭,xi1
娮,yan2
娳,li4
娽,lu4
𡜱,ji4
𡜲,gao4
𡜵,pu1
𡝂,zhuang4
𡝊,zhe2
𡝚,cheng2
𡝝,wang1
㛥,ta4
㛦,lan3
㛧,man3
